epoch,learning_times,real_time,,,,
1,630,0.795177937,,ÉpÉâÉÅÅ[É^çXêV,,
2,536,0.869103909,,ïΩãœ,537.905,âÒ
3,471,0.635656834,,ï™éU,76.060,âÒ
4,462,0.544697046,,,,
5,443,0.533634901,,èäóvéûä‘,,
6,541,0.653143883,,ïΩãœ,0.734,ïb
7,522,0.63711071,,ï™éU,0.197,ïb
8,455,0.571877241,,,,
9,467,0.618503094,,,,
10,567,0.683397055,,,,
11,502,0.610908985,,,,
12,505,0.606910944,,,,
13,495,0.603604078,,,,
14,534,0.65312624,,,,
15,609,0.732674122,,,,
16,502,0.635789871,,,,
17,588,0.716449022,,,,
18,611,0.745928049,,,,
19,793,0.945986986,,,,
20,493,0.594399929,,,,
21,502,0.627480984,,,,
22,503,0.618030071,,,,
23,691,0.891985893,,,,
24,536,0.732212782,,,,
25,600,0.729529142,,,,
26,485,0.579639912,,,,
27,448,0.56654954,,,,
28,466,0.581619978,,,,
29,440,0.549371004,,,,
30,455,0.549277067,,,,
31,864,1.095517874,,,,
32,555,0.693054199,,,,
33,554,0.68594408,,,,
34,519,0.659326077,,,,
35,590,0.719618082,,,,
36,503,0.620055676,,,,
37,506,0.622876167,,,,
38,533,0.666605949,,,,
39,549,0.729709148,,,,
40,615,0.75808692,,,,
41,535,0.662127733,,,,
42,520,0.636342049,,,,
43,529,0.648123026,,,,
44,497,0.597381115,,,,
45,579,0.716492653,,,,
46,515,0.618339062,,,,
47,489,0.591293335,,,,
48,561,0.691689014,,,,
49,461,0.580181837,,,,
50,548,0.66919899,,,,
51,754,0.975376844,,,,
52,627,0.793101072,,,,
53,533,0.683960915,,,,
54,500,0.614753008,,,,
55,555,0.667299032,,,,
56,567,0.697007895,,,,
57,529,0.66302681,,,,
58,589,0.774821997,,,,
59,503,0.651386738,,,,
60,673,0.844643831,,,,
61,521,0.645736933,,,,
62,578,0.710577965,,,,
63,608,0.767825127,,,,
64,466,0.585203886,,,,
65,553,0.70799017,,,,
66,567,0.797939301,,,,
67,616,0.764451742,,,,
68,476,0.657963037,,,,
69,639,0.797008991,,,,
70,681,0.839703083,,,,
71,560,0.709498882,,,,
72,459,0.599238157,,,,
73,489,0.647928953,,,,
74,511,0.664304972,,,,
75,515,0.651825905,,,,
76,578,0.73967886,,,,
77,672,0.828913212,,,,
78,473,0.61283803,,,,
79,462,0.588034868,,,,
80,563,0.780254126,,,,
81,423,0.537806273,,,,
82,534,0.747594118,,,,
83,572,0.729106903,,,,
84,525,0.653868914,,,,
85,476,0.58751297,,,,
86,472,0.599143982,,,,
87,524,0.650111914,,,,
88,567,0.743528843,,,,
89,513,0.66571331,,,,
90,468,0.597200871,,,,
91,554,0.705777168,,,,
92,527,0.658163786,,,,
93,541,0.675646782,,,,
94,486,0.608750105,,,,
95,487,0.620078087,,,,
96,473,0.580290079,,,,
97,530,0.704804182,,,,
98,419,0.620862007,,,,
99,582,0.792582035,,,,
100,483,0.647040129,,,,
101,469,0.620540142,,,,
102,545,0.700000048,,,,
103,568,0.761424303,,,,
104,544,0.708641052,,,,
105,499,0.836098194,,,,
