epoch,learning_times,real_time,,,,
1,500,0.682973146,,ÉpÉâÉÅÅ[É^çXêV,,
2,489,0.625311852,,ïΩãœ,540.659,âÒ
3,706,0.88862896,,ï™éU,75.072,âÒ
4,486,0.591928244,,,,
5,480,0.5929389,,èäóvéûä‘,,
6,479,0.623134851,,ïΩãœ,0.665,ïb
7,609,0.745108843,,ï™éU,0.092,ïb
8,555,0.678055048,,,,
9,452,0.553251028,,,,
10,499,0.607368231,,,,
11,463,0.577763081,,,,
12,594,0.72292304,,,,
13,505,0.623972893,,,,
14,566,0.691787958,,,,
15,549,0.671138048,,,,
16,508,0.617817879,,,,
17,582,0.715759039,,,,
18,537,0.675207138,,,,
19,540,0.654418945,,,,
20,585,0.722502947,,,,
21,571,0.739838123,,,,
22,493,0.604192972,,,,
23,586,0.71510601,,,,
24,600,0.73052001,,,,
25,598,0.730807066,,,,
26,487,0.58963418,,,,
27,540,0.653381109,,,,
28,467,0.579965353,,,,
29,511,0.624722958,,,,
30,536,0.658793926,,,,
31,575,0.704848051,,,,
32,493,0.600174904,,,,
33,603,0.752511263,,,,
34,503,0.611771107,,,,
35,475,0.587005854,,,,
36,535,0.685878038,,,,
37,436,0.535126925,,,,
38,577,0.714845896,,,,
39,518,0.629584789,,,,
40,537,0.648339987,,,,
41,476,0.582912922,,,,
42,608,0.744952917,,,,
43,452,0.555814028,,,,
44,442,0.541796207,,,,
45,483,0.586971998,,,,
46,651,0.793566942,,,,
47,673,0.815824032,,,,
48,624,0.76021409,,,,
49,564,0.684853077,,,,
50,536,0.65484786,,,,
51,559,0.686475992,,,,
52,585,0.74511075,,,,
53,533,0.646136045,,,,
54,470,0.570301771,,,,
55,637,0.778203011,,,,
56,464,0.564036131,,,,
57,530,0.644551992,,,,
58,516,0.633232832,,,,
59,485,0.591614008,,,,
60,466,0.567966223,,,,
61,593,0.719907045,,,,
62,513,0.62615037,,,,
63,566,0.709764957,,,,
64,517,0.628458977,,,,
65,506,0.623351097,,,,
66,550,0.694494009,,,,
67,499,0.647378206,,,,
68,638,0.777158976,,,,
69,605,0.732755899,,,,
70,547,0.665549755,,,,
71,483,0.592226982,,,,
72,550,0.674700737,,,,
73,447,0.551209927,,,,
74,583,0.713319063,,,,
75,464,0.565015078,,,,
76,440,0.535382032,,,,
77,468,0.645609856,,,,
78,687,0.839679003,,,,
79,450,0.547129869,,,,
80,433,0.528801918,,,,
81,657,0.795926094,,,,
82,439,0.567964792,,,,
83,591,0.741364956,,,,
84,560,0.678200722,,,,
85,549,0.66327095,,,,
86,605,0.739248037,,,,
87,555,0.676292181,,,,
88,552,0.67351079,,,,
89,533,0.646661043,,,,
90,708,0.859325886,,,,
91,590,0.71907711,,,,
92,619,0.750067949,,,,
93,557,0.693366051,,,,
94,471,0.570996046,,,,
95,503,0.614018917,,,,
96,501,0.609361887,,,,
97,448,0.583082914,,,,
98,567,0.688245058,,,,
99,529,0.638089895,,,,
100,502,0.610704899,,,,
101,538,0.661146164,,,,
102,573,0.701259136,,,,
103,564,0.696031094,,,,
104,574,0.698799849,,,,
105,659,0.801217079,,,,
106,494,0.598984957,,,,
